Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-24,9758.0,8819.0,242.0,155.0,0.0,0.015884402541504406
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-25,14412.0,8987.0,243.0,168.0,1.0,0.011656952539550375
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-28,13833.0,9800.0,259.0,269.0,5.0,0.019446251716908843
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-29,13737.0,9977.0,260.0,177.0,1.0,0.01288490936885783
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-30,9880.0,10134.0,262.0,157.0,2.0,0.01589068825910931
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-08-31,8485.0,10317.0,266.0,183.0,4.0,0.021567472009428403
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-01,16979.0,10524.0,271.0,207.0,5.0,0.012191530714411921
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-02,14154.0,10757.0,273.0,233.0,2.0,0.01646177758937403
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-03,12066.0,10998.0,278.0,241.0,5.0,0.019973479197745732
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-04,10576.0,11200.0,279.0,202.0,1.0,0.01909984871406959
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-05,11922.0,11386.0,280.0,186.0,1.0,0.01560140915953699
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-14,7145.0,13420.0,310.0,180.0,5.0,0.025192442267319804
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-19,12301.0,14978.0,331.0,240.0,4.0,0.019510608893585888
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-20,8200.0,15142.0,338.0,164.0,7.0,0.02
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-21,7905.0,15595.0,344.0,453.0,6.0,0.05730550284629981
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-22,10899.0,15928.0,352.0,333.0,8.0,0.0305532617671346
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-23,12212.0,16286.0,357.0,358.0,5.0,0.0293154274484114
